会员ID,性别,会员等级,注册渠道,年龄,职业,所在城市,家庭阶段,是否付费会员
A148,女,金卡,社群裂变,48,全职主妇,北京,单身青年,是
A149,男,银卡,微信小程序,39,全职主妇,重庆,二人世界,否
A150,女,银卡,地推活动,36,公务员,武汉,二人世界,否
A151,女,银卡,线下扫码,40,互联网从业,天津,单身青年,否
A152,男,金卡,微信小程序,29,其他,南京,三口之家,是
A153,女,黑金,地推活动,41,其他,深圳,三口之家,是
A154,男,银卡,微信小程序,30,企业职员,苏州,二人世界,否
A155,男,银卡,社群裂变,46,全职主妇,北京,单身青年,否
A156,女,普通,微信小程序,48,全职主妇,上海,单身青年,否
A157,女,黑金,App自然注册,48,互联网从业,北京,二人世界,是
A158,男,普通,地推活动,37,企业职员,上海,三口之家,否
A159,男,银卡,线下扫码,41,互联网从业,郑州,银发族,否
A160,男,金卡,线下扫码,33,企业职员,上海,三口之家,否
A161,女,金卡,地推活动,45,自由职业,苏州,三口之家,是
A162,女,银卡,微信小程序,37,企业职员,武汉,单身青年,否
A163,女,金卡,外卖平台导流,44,自由职业,杭州,三口之家,否
A164,女,普通,线下扫码,44,企业职员,武汉,多口之家,否
A165,男,普通,社群裂变,28,企业职员,西安,多口之家,否
A166,女,金卡,微信小程序,40,服务业,青岛,二人世界,是
A167,男,普通,社群裂变,36,企业职员,其他,三口之家,否
A168,女,金卡,微信小程序,42,自由职业,郑州,二人世界,是
A169,男,黑金,微信小程序,44,全职主妇,深圳,二人世界,是
A170,女,银卡,线下扫码,34,其他,天津,银发族,否
A171,男,黑金,App自然注册,38,互联网从业,西安,二人世界,是
A172,男,普通,微信小程序,49,企业职员,深圳,三口之家,否
A173,男,普通,社群裂变,35,全职主妇,长沙,三口之家,否
A174,男,普通,线下扫码,36,企业职员,广州,二人世界,否
A175,男,金卡,微信小程序,40,自由职业,西安,三口之家,否
A176,男,普通,外卖平台导流,48,互联网从业,其他,银发族,否
A177,女,银卡,App自然注册,34,全职主妇,北京,三口之家,否
A178,女,金卡,外卖平台导流,50,自由职业,成都,单身青年,是
A179,男,金卡,App自然注册,47,全职主妇,北京,多口之家,是
A180,男,普通,线下扫码,38,企业职员,上海,单身青年,否
A181,男,金卡,微信小程序,35,全职主妇,成都,单身青年,否
A182,男,银卡,社群裂变,55,服务业,南京,三口之家,否
A183,女,金卡,社群裂变,41,学生,深圳,单身青年,是
A184,男,普通,社群裂变,36,学生,青岛,银发族,否
A185,男,银卡,App自然注册,47,其他,北京,二人世界,否
A186,男,金卡,外卖平台导流,46,自由职业,郑州,单身青年,否
A187,女,普通,App自然注册,51,公务员,广州,三口之家,否
A188,男,普通,App自然注册,50,企业职员,武汉,二人世界,否
A189,女,普通,微信小程序,37,企业职员,西安,三口之家,否
A190,男,普通,线下扫码,39,服务业,北京,多口之家,否
A191,女,银卡,线下扫码,34,企业职员,广州,三口之家,否
A192,女,黑金,App自然注册,48,公务员,郑州,三口之家,是
A193,女,银卡,社群裂变,35,全职主妇,广州,三口之家,否
A194,男,普通,App自然注册,36,企业职员,天津,银发族,否
A195,女,黑金,微信小程序,48,企业职员,青岛,三口之家,是
A196,女,金卡,App自然注册,46,全职主妇,杭州,二人世界,否
A197,女,普通,外卖平台导流,49,公务员,苏州,三口之家,否
A198,女,普通,线下扫码,53,全职主妇,杭州,单身青年,否
A199,男,普通,线下扫码,42,其他,成都,多口之家,否
A200,女,黑金,地推活动,54,服务业,深圳,单身青年,是
A201,男,银卡,微信小程序,38,互联网从业,苏州,三口之家,否
A202,女,普通,微信小程序,42,全职主妇,苏州,三口之家,否
A203,男,银卡,社群裂变,34,服务业,郑州,单身青年,否
A204,男,金卡,App自然注册,36,服务业,深圳,单身青年,是
A205,女,银卡,社群裂变,37,互联网从业,苏州,二人世界,否
A206,女,银卡,地推活动,42,学生,苏州,三口之家,否
A207,女,金卡,线下扫码,45,其他,广州,三口之家,是
A208,女,金卡,App自然注册,43,互联网从业,上海,多口之家,是
A209,女,金卡,外卖平台导流,37,互联网从业,上海,三口之家,是
A210,男,黑金,微信小程序,36,企业职员,杭州,多口之家,是
A211,女,银卡,App自然注册,47,企业职员,其他,多口之家,否
A212,女,银卡,微信小程序,48,企业职员,北京,二人世界,否
A213,男,银卡,线下扫码,40,全职主妇,北京,单身青年,否
A214,男,黑金,线下扫码,39,企业职员,上海,三口之家,是
A215,女,金卡,App自然注册,50,互联网从业,上海,三口之家,否
A216,男,金卡,微信小程序,51,全职主妇,天津,二人世界,是
A217,男,普通,社群裂变,45,学生,武汉,银发族,否
A218,女,银卡,App自然注册,34,自由职业,上海,单身青年,否
A219,男,金卡,地推活动,35,全职主妇,武汉,银发族,是
A220,男,普通,线下扫码,44,企业职员,苏州,二人世界,否
A221,男,黑金,App自然注册,50,全职主妇,上海,二人世界,是
A222,男,金卡,微信小程序,50,自由职业,其他,单身青年,是
A223,男,黑金,线下扫码,47,互联网从业,北京,银发族,是
A224,男,普通,App自然注册,55,企业职员,杭州,二人世界,否
A225,女,银卡,App自然注册,42,公务员,其他,多口之家,否
A226,女,银卡,外卖平台导流,50,企业职员,西安,银发族,否
A227,男,金卡,App自然注册,46,互联网从业,南京,银发族,是
A228,女,普通,微信小程序,49,企业职员,上海,二人世界,否
A229,男,金卡,线下扫码,31,服务业,北京,三口之家,否
A230,女,金卡,线下扫码,53,全职主妇,武汉,二人世界,否
A231,女,黑金,线下扫码,48,互联网从业,青岛,银发族,是
A232,女,普通,微信小程序,40,企业职员,其他,多口之家,否
A233,男,银卡,微信小程序,49,互联网从业,其他,单身青年,否
A234,女,黑金,地推活动,32,互联网从业,西安,二人世界,是
A235,女,金卡,线下扫码,33,服务业,北京,多口之家,是
A236,男,黑金,线下扫码,34,自由职业,成都,二人世界,是
A237,男,银卡,线下扫码,28,企业职员,青岛,三口之家,否
A238,女,普通,App自然注册,37,其他,杭州,单身青年,否
A239,女,黑金,微信小程序,36,互联网从业,天津,多口之家,是
A240,男,黑金,微信小程序,36,全职主妇,杭州,三口之家,是
A241,女,银卡,微信小程序,49,自由职业,深圳,三口之家,否
A242,男,银卡,微信小程序,37,企业职员,杭州,多口之家,否
A243,男,金卡,微信小程序,39,互联网从业,其他,单身青年,是
A244,女,银卡,微信小程序,34,自由职业,北京,银发族,否
A245,女,银卡,微信小程序,47,学生,深圳,三口之家,否
A246,女,黑金,微信小程序,43,互联网从业,南京,多口之家,是
A247,女,普通,外卖平台导流,32,全职主妇,杭州,三口之家,否
A248,男,金卡,社群裂变,28,学生,广州,单身青年,是
A249,女,银卡,社群裂变,46,全职主妇,武汉,单身青年,否
A250,男,黑金,App自然注册,45,学生,深圳,三口之家,是
A251,女,银卡,地推活动,40,全职主妇,上海,单身青年,否
A252,男,银卡,App自然注册,43,服务业,郑州,单身青年,否
A253,男,黑金,微信小程序,39,服务业,长沙,二人世界,是
A254,男,银卡,App自然注册,47,服务业,重庆,单身青年,否
A255,女,普通,微信小程序,43,公务员,深圳,单身青年,否
A256,男,黑金,微信小程序,50,服务业,上海,二人世界,是
A257,女,银卡,社群裂变,36,互联网从业,深圳,三口之家,否
A258,女,金卡,App自然注册,43,企业职员,天津,三口之家,是
A259,男,金卡,微信小程序,46,互联网从业,西安,多口之家,否
A260,女,金卡,微信小程序,45,全职主妇,长沙,银发族,是
A261,女,银卡,微信小程序,35,自由职业,上海,二人世界,否
A262,男,金卡,微信小程序,47,自由职业,深圳,三口之家,否
A263,男,银卡,App自然注册,43,公务员,广州,三口之家,否
A264,女,银卡,地推活动,43,互联网从业,其他,多口之家,否
A265,女,银卡,微信小程序,33,企业职员,深圳,二人世界,否
A266,男,银卡,社群裂变,47,全职主妇,其他,三口之家,否
A267,女,金卡,外卖平台导流,43,企业职员,其他,银发族,是
A268,女,金卡,社群裂变,50,公务员,其他,单身青年,是
A269,男,黑金,微信小程序,33,其他,深圳,多口之家,是
A270,男,普通,外卖平台导流,39,服务业,长沙,单身青年,否
A271,女,黑金,地推活动,30,全职主妇,其他,三口之家,是
A272,男,金卡,微信小程序,40,全职主妇,成都,多口之家,是
A273,女,银卡,线下扫码,39,互联网从业,广州,单身青年,否
A274,男,黑金,App自然注册,31,学生,郑州,银发族,是
A275,男,金卡,App自然注册,35,其他,其他,三口之家,是
A276,女,金卡,App自然注册,37,公务员,北京,三口之家,否
A277,男,黑金,地推活动,34,互联网从业,深圳,三口之家,是
A278,女,银卡,线下扫码,41,企业职员,广州,银发族,否
A279,女,金卡,App自然注册,47,企业职员,西安,二人世界,是
A280,男,黑金,线下扫码,39,自由职业,上海,二人世界,是
A281,女,银卡,微信小程序,36,企业职员,深圳,多口之家,否
A282,男,金卡,微信小程序,33,学生,上海,单身青年,是
A283,女,黑金,线下扫码,51,企业职员,重庆,三口之家,是
A284,女,黑金,微信小程序,35,企业职员,广州,三口之家,是
A285,女,普通,微信小程序,47,互联网从业,武汉,银发族,否
A286,女,普通,App自然注册,44,其他,重庆,三口之家,否
A287,女,普通,App自然注册,46,企业职员,北京,多口之家,否
A288,女,黑金,微信小程序,39,全职主妇,武汉,二人世界,是
A289,男,银卡,社群裂变,45,企业职员,西安,三口之家,否
A290,女,金卡,App自然注册,44,企业职员,西安,单身青年,否
A291,女,银卡,微信小程序,43,企业职员,上海,多口之家,否
A292,女,银卡,地推活动,40,学生,其他,单身青年,否
A293,男,银卡,线下扫码,54,企业职员,成都,三口之家,否
A294,女,金卡,外卖平台导流,42,企业职员,上海,多口之家,否
A295,女,银卡,外卖平台导流,28,全职主妇,上海,单身青年,否
A296,女,黑金,外卖平台导流,35,企业职员,武汉,三口之家,是
A297,女,金卡,社群裂变,28,公务员,重庆,单身青年,否
A298,女,普通,线下扫码,44,全职主妇,北京,多口之家,否
A299,女,金卡,微信小程序,42,服务业,成都,单身青年,是
A300,男,金卡,外卖平台导流,35,互联网从业,北京,多口之家,否
A301,女,金卡,线下扫码,28,自由职业,武汉,银发族,否
A302,女,金卡,线下扫码,55,公务员,郑州,三口之家,是
A303,女,黑金,微信小程序,36,互联网从业,北京,多口之家,是
A304,男,普通,微信小程序,50,企业职员,北京,二人世界,否
A305,女,金卡,微信小程序,46,公务员,郑州,单身青年,否
A306,男,金卡,地推活动,52,企业职员,其他,单身青年,是
A307,女,金卡,线下扫码,48,企业职员,武汉,三口之家,是
A308,女,金卡,线下扫码,33,服务业,重庆,三口之家,是
A309,男,普通,线下扫码,34,互联网从业,郑州,单身青年,否
A310,女,黑金,外卖平台导流,36,企业职员,南京,多口之家,是
A311,男,金卡,外卖平台导流,38,互联网从业,杭州,银发族,否
A312,男,银卡,线下扫码,50,公务员,长沙,银发族,否
A313,男,普通,微信小程序,28,其他,成都,二人世界,否
A314,女,金卡,App自然注册,43,企业职员,西安,单身青年,是
A315,男,普通,外卖平台导流,43,全职主妇,成都,多口之家,否
A316,男,普通,线下扫码,36,全职主妇,青岛,二人世界,否
A317,男,银卡,地推活动,38,公务员,广州,三口之家,否
A318,男,黑金,App自然注册,37,互联网从业,其他,多口之家,是
A319,女,金卡,App自然注册,39,服务业,深圳,单身青年,否
A320,男,金卡,微信小程序,54,全职主妇,郑州,二人世界,否
A321,女,银卡,微信小程序,52,服务业,上海,二人世界,否
A322,女,普通,微信小程序,35,互联网从业,天津,单身青年,否
A323,女,普通,微信小程序,37,互联网从业,广州,单身青年,否
A324,男,金卡,外卖平台导流,50,互联网从业,北京,单身青年,是
A325,男,银卡,外卖平台导流,38,企业职员,成都,三口之家,否
A326,女,银卡,微信小程序,35,其他,苏州,三口之家,否
A327,男,金卡,App自然注册,41,自由职业,杭州,二人世界,是
A328,男,普通,线下扫码,36,互联网从业,上海,多口之家,否
A329,女,黑金,线下扫码,31,服务业,苏州,二人世界,是
A330,女,普通,微信小程序,43,企业职员,北京,多口之家,否
A331,女,金卡,外卖平台导流,48,自由职业,杭州,多口之家,否
A332,女,银卡,App自然注册,48,全职主妇,长沙,银发族,否
A333,女,金卡,微信小程序,38,全职主妇,西安,三口之家,是
A334,女,金卡,微信小程序,52,企业职员,长沙,单身青年,否
A335,男,普通,社群裂变,41,自由职业,北京,二人世界,否
A336,女,金卡,微信小程序,35,企业职员,上海,三口之家,是
A337,女,金卡,微信小程序,46,公务员,成都,单身青年,否
A338,女,黑金,微信小程序,43,企业职员,成都,三口之家,是
A339,男,普通,线下扫码,47,互联网从业,天津,单身青年,否
A340,男,黑金,微信小程序,34,服务业,其他,三口之家,是
A341,男,金卡,线下扫码,36,互联网从业,广州,三口之家,是
A342,男,金卡,地推活动,52,企业职员,武汉,多口之家,是
A343,女,金卡,社群裂变,44,其他,南京,三口之家,是
A344,男,金卡,外卖平台导流,55,互联网从业,苏州,银发族,是
A345,女,黑金,App自然注册,47,互联网从业,苏州,二人世界,是
A346,女,银卡,外卖平台导流,31,互联网从业,长沙,多口之家,否
A347,男,普通,外卖平台导流,44,企业职员,长沙,二人世界,否
A348,女,金卡,外卖平台导流,45,企业职员,成都,三口之家,是
A349,男,普通,微信小程序,43,自由职业,重庆,银发族,否
A350,男,银卡,外卖平台导流,45,学生,其他,三口之家,否
A351,男,黑金,线下扫码,36,全职主妇,北京,单身青年,是
A352,女,金卡,微信小程序,30,公务员,武汉,银发族,是
A353,男,普通,微信小程序,45,自由职业,上海,三口之家,否
A354,女,银卡,线下扫码,40,其他,上海,单身青年,否
A355,女,银卡,App自然注册,33,服务业,武汉,银发族,否
A356,女,银卡,线下扫码,48,企业职员,广州,多口之家,否
A357,女,银卡,App自然注册,40,其他,北京,二人世界,否
A358,女,金卡,微信小程序,44,企业职员,深圳,银发族,否
A359,女,黑金,微信小程序,49,企业职员,天津,多口之家,是
A360,女,金卡,微信小程序,46,公务员,南京,三口之家,否
A361,女,金卡,微信小程序,36,企业职员,青岛,二人世界,是
A362,女,金卡,线下扫码,44,公务员,深圳,单身青年,是
A363,男,银卡,App自然注册,40,服务业,上海,二人世界,否
A364,男,银卡,线下扫码,39,互联网从业,成都,银发族,否
A365,女,金卡,外卖平台导流,38,全职主妇,天津,单身青年,否
A366,男,金卡,App自然注册,44,自由职业,南京,二人世界,否
A367,男,金卡,微信小程序,50,其他,成都,多口之家,是
A368,女,银卡,线下扫码,39,公务员,苏州,多口之家,否
A369,男,银卡,微信小程序,36,学生,长沙,二人世界,否
A370,男,金卡,外卖平台导流,41,服务业,北京,单身青年,是
A371,男,银卡,微信小程序,38,服务业,其他,二人世界,否
A372,女,普通,微信小程序,49,学生,天津,三口之家,否
A373,女,黑金,外卖平台导流,46,学生,深圳,二人世界,是
A374,女,金卡,微信小程序,43,企业职员,苏州,二人世界,是
A375,女,金卡,微信小程序,28,企业职员,重庆,多口之家,是
A376,女,银卡,社群裂变,42,企业职员,北京,三口之家,否
A377,男,普通,外卖平台导流,38,全职主妇,西安,二人世界,否
A378,女,金卡,App自然注册,40,其他,杭州,三口之家,是
A379,女,黑金,微信小程序,36,企业职员,广州,三口之家,是
A380,男,普通,线下扫码,36,公务员,上海,单身青年,否
A381,男,金卡,地推活动,42,自由职业,杭州,单身青年,是
A382,男,金卡,App自然注册,31,企业职员,深圳,银发族,是
A383,女,金卡,微信小程序,43,其他,郑州,多口之家,是
A384,女,银卡,外卖平台导流,44,全职主妇,上海,二人世界,否
A385,男,银卡,外卖平台导流,35,互联网从业,重庆,单身青年,否
A386,男,普通,微信小程序,46,企业职员,北京,多口之家,否
A387,男,普通,微信小程序,35,自由职业,西安,三口之家,否
A388,男,普通,App自然注册,41,自由职业,杭州,单身青年,否
A389,男,普通,社群裂变,53,全职主妇,北京,二人世界,否
A390,男,普通,外卖平台导流,41,服务业,成都,单身青年,否
A391,男,普通,App自然注册,44,全职主妇,北京,二人世界,否
A392,男,银卡,App自然注册,37,企业职员,深圳,三口之家,否
A393,女,金卡,App自然注册,41,企业职员,郑州,三口之家,是
A394,女,黑金,线下扫码,39,互联网从业,上海,三口之家,是
A395,女,普通,微信小程序,52,全职主妇,其他,单身青年,否
A396,男,普通,App自然注册,36,企业职员,北京,多口之家,否
A397,男,金卡,微信小程序,36,服务业,上海,多口之家,是
A398,女,银卡,微信小程序,41,服务业,南京,多口之家,否
A399,女,金卡,外卖平台导流,45,服务业,上海,二人世界,否
A400,女,金卡,外卖平台导流,43,互联网从业,北京,三口之家,是
A401,女,金卡,微信小程序,32,自由职业,西安,三口之家,是
A402,女,金卡,App自然注册,42,企业职员,北京,二人世界,是
A403,女,金卡,线下扫码,42,企业职员,南京,二人世界,是
A404,女,银卡,线下扫码,41,企业职员,深圳,银发族,否
A405,女,金卡,外卖平台导流,38,全职主妇,深圳,三口之家,否
A406,男,银卡,地推活动,45,公务员,上海,银发族,否
A407,男,金卡,线下扫码,34,自由职业,其他,三口之家,是
A408,男,金卡,线下扫码,28,企业职员,武汉,单身青年,是
A409,女,普通,外卖平台导流,55,公务员,苏州,单身青年,否
A410,男,普通,线下扫码,50,企业职员,长沙,多口之家,否
A411,女,银卡,外卖平台导流,38,其他,武汉,多口之家,否
A412,女,银卡,App自然注册,45,服务业,武汉,多口之家,否
A413,女,普通,地推活动,43,学生,武汉,二人世界,否
A414,男,银卡,App自然注册,45,全职主妇,杭州,二人世界,否
A415,女,金卡,App自然注册,35,服务业,上海,二人世界,否
A416,女,金卡,App自然注册,55,企业职员,长沙,二人世界,是
A417,女,普通,微信小程序,55,公务员,成都,单身青年,否
A418,男,普通,线下扫码,35,全职主妇,西安,三口之家,否
A419,女,普通,微信小程序,39,自由职业,青岛,银发族,否
A420,女,普通,微信小程序,40,企业职员,北京,二人世界,否
A421,女,银卡,微信小程序,38,自由职业,苏州,二人世界,否
A422,女,金卡,App自然注册,52,其他,深圳,二人世界,是
A423,男,银卡,外卖平台导流,28,全职主妇,上海,三口之家,否
A424,女,普通,社群裂变,46,服务业,西安,单身青年,否
A425,女,银卡,微信小程序,48,全职主妇,苏州,多口之家,否
A426,男,普通,线下扫码,29,全职主妇,广州,多口之家,否
A427,男,普通,App自然注册,43,全职主妇,其他,三口之家,否
A428,女,银卡,线下扫码,52,企业职员,成都,三口之家,否
A429,男,金卡,微信小程序,38,企业职员,西安,三口之家,否
A430,男,银卡,App自然注册,47,全职主妇,郑州,二人世界,否
A431,男,金卡,地推活动,50,企业职员,青岛,单身青年,否
A432,男,黑金,地推活动,35,企业职员,深圳,多口之家,是
