订单ID,关联事件ID,会员ID,商品ID,门店ID,订单日期,订单金额_元,商品成本_元,毛利_元,促销ID,订单渠道,购买数量,配送时长_分钟,履约时长_分钟
O000106,E0001171,A126,S023,16,2023-01-02,21.51,14.45,7.06,P06,门店自提,1,12,10
O000107,E0001173,C9139,S025,40,2023-01-02,19.02,12.08,6.94,P04,小程序到家,1,29,27
O000108,E0001177,B0779,S091,39,2023-01-02,19.95,10.56,9.39,P01,App到家,3,27,23
O000109,E0001180,C7597,S094,1,2023-01-02,19.19,11.77,7.42,P01,小程序到家,1,20,20
O000110,E0001185,C8795,S075,37,2023-01-02,72.3,45.1,27.2,P03,App到家,2,54,41
O000111,E0001189,B2007,S003,16,2023-01-02,19.44,10.75,8.69,P02,App到家,2,19,10
O000112,E0001192,B2968,S044,14,2023-01-02,28.54,17.99,10.55,P05,门店自提,1,29,22
O000113,E0001201,C0921,S027,9,2023-01-02,31.67,22.42,9.25,P04,门店堂食,1,20,13
O000114,E0001215,C6746,S008,17,2023-01-02,9.9,3.99,5.91,P05,门店自提,1,15,10
O000115,E0001231,B0463,S014,1,2023-01-02,16.48,10.38,6.1,P01,第三方外卖,1,16,11
O000116,E0001237,C8456,S013,28,2023-01-02,19.01,12.6,6.41,P02,App到家,1,37,27
O000117,E0001268,C0274,S015,10,2023-01-02,198.03,139.08,58.95,P01,App到家,3,35,32
O000118,E0001274,B2261,S088,34,2023-01-02,16.25,9.63,6.62,P01,小程序到家,1,16,18
O000119,E0001279,C4091,S039,2,2023-01-02,25.68,13.52,12.16,P05,第三方外卖,2,23,19
O000120,E0001281,B2067,S063,26,2023-01-02,48.12,28.84,19.28,P02,App到家,1,18,17
O000121,E0001297,B2206,S028,35,2023-01-02,83.52,56.45,27.07,P01,小程序到家,3,17,10
O000122,E0001308,A046,S070,17,2023-01-02,21.59,13.08,8.51,P05,门店自提,1,14,10
O000123,E0001311,C3482,S003,34,2023-01-02,19.18,10.75,8.43,P01,小程序到家,2,15,16
O000124,E0001314,B0102,S035,38,2023-01-02,15.25,9.5,5.75,P05,App到家,1,15,18
O000125,E0001320,B0683,S033,11,2023-01-02,22.26,13.91,8.35,P06,门店自提,1,14,13
O000126,E0001333,B1669,S023,14,2023-01-03,22.45,14.45,8.0,P08,小程序到家,1,19,17
O000127,E0001349,C2063,S050,21,2023-01-03,19.05,11.34,7.71,P01,小程序到家,1,24,14
O000128,E0001354,C1901,S003,5,2023-01-03,9.9,5.38,4.52,P02,小程序到家,1,22,19
O000129,E0001384,B1816,S095,20,2023-01-03,55.6,36.8,18.8,P02,门店堂食,2,14,10
O000130,E0001394,B3027,S069,13,2023-01-03,57.94,34.8,23.14,P02,小程序到家,2,22,17
O000131,E0001422,C3487,S043,21,2023-01-03,38.77,24.2,14.57,P02,门店自提,1,21,22
O000132,E0001429,B0261,S047,16,2023-01-03,12.83,5.89,6.94,P01,App到家,1,45,34
O000133,E0001434,A313,S046,13,2023-01-03,32.57,19.44,13.13,P08,小程序到家,1,12,15
O000134,E0001437,C1649,S007,36,2023-01-03,10.7,5.06,5.64,P01,门店自提,2,15,13
O000135,E0001442,B2308,S012,6,2023-01-03,69.44,61.36,8.08,P07,门店自提,1,27,14
O000136,E0001443,B0511,S014,12,2023-01-03,33.3,20.77,12.53,P01,小程序到家,2,16,11
O000137,E0001451,A517,S026,23,2023-01-03,23.18,14.84,8.34,P06,小程序到家,1,38,22
O000138,E0001472,C8870,S085,5,2023-01-03,24.94,13.39,11.55,P01,小程序到家,2,17,10
O000139,E0001519,C5404,S010,28,2023-01-03,9.9,5.67,4.23,P01,小程序到家,1,35,31
O000140,E0001521,B3862,S014,32,2023-01-03,16.31,10.38,5.93,P05,小程序到家,1,15,10
O000141,E0001532,B2707,S080,30,2023-01-03,22.35,13.88,8.47,P02,门店堂食,1,25,24
O000142,E0001541,C7293,S007,6,2023-01-03,9.9,2.53,7.37,P03,第三方外卖,1,53,34
O000143,E0001553,C0989,S040,3,2023-01-03,18.38,10.3,8.08,P05,App到家,1,40,25
O000144,E0001578,C8206,S009,40,2023-01-03,9.9,4.29,5.61,P01,App到家,1,19,11
O000145,E0001587,C1242,S050,12,2023-01-03,19.68,11.34,8.34,P05,App到家,1,17,13
O000146,E0001589,B3772,S066,5,2023-01-03,9.9,2.78,7.12,P04,门店堂食,1,20,20
O000147,E0001596,C7161,S058,13,2023-01-03,15.67,11.88,3.79,P07,小程序到家,1,17,16
O000148,E0001600,C3258,S059,8,2023-01-03,32.19,18.72,13.47,P02,小程序到家,1,21,12
O000149,E0001602,C9244,S026,35,2023-01-03,19.74,14.84,4.9,P07,App到家,1,23,21
O000150,E0001640,B2912,S013,27,2023-01-03,37.16,25.2,11.96,P01,小程序到家,2,13,10
O000151,E0001642,B4096,S050,4,2023-01-03,19.13,11.34,7.79,P01,第三方外卖,1,70,46
O000152,E0001652,B0810,S068,6,2023-01-03,12.49,7.15,5.34,P04,门店堂食,1,47,28
O000153,E0001657,B2035,S066,38,2023-01-03,9.9,2.78,7.12,P01,门店自提,1,12,10
O000154,E0001660,C1486,S087,17,2023-01-03,24.72,15.6,9.12,P01,门店自提,1,26,21
O000155,E0001666,C8737,S062,6,2023-01-03,32.51,18.54,13.97,P02,小程序到家,1,14,12
O000156,E0001668,C7757,S094,4,2023-01-03,55.29,35.31,19.98,P01,门店堂食,3,13,16
O000157,E0001680,C1920,S037,37,2023-01-03,48.01,29.12,18.89,P08,App到家,1,30,25
O000158,E0001691,B3669,S023,22,2023-01-03,21.83,14.45,7.38,P03,小程序到家,1,29,22
O000159,E0001697,B0952,S017,35,2023-01-03,29.78,16.35,13.43,P01,第三方外卖,2,49,32
O000160,E0001710,C0388,S007,37,2023-01-03,9.9,2.53,7.37,P02,App到家,1,20,18
O000161,E0001711,B2938,S004,26,2023-01-03,9.9,2.65,7.25,P01,App到家,1,13,13
O000162,E0001719,B0991,S014,37,2023-01-03,32.24,20.77,11.47,P04,App到家,2,44,35
O000163,E0001720,C0772,S039,12,2023-01-03,25.14,13.52,11.62,P01,第三方外卖,2,27,25
O000164,E0001722,B2224,S046,17,2023-01-03,97.8,58.32,39.48,P01,门店自提,3,29,21
O000165,E0001726,A571,S080,27,2023-01-03,22.43,13.88,8.55,P03,门店堂食,1,27,24
O000166,E0001729,C6828,S100,21,2023-01-03,32.57,20.17,12.4,P05,门店堂食,1,30,29
O000167,E0001742,C2720,S061,17,2023-01-03,29.15,17.0,12.15,P01,门店自提,1,12,16
O000168,E0001756,C0989,S097,39,2023-01-03,26.23,14.56,11.67,P08,小程序到家,1,29,25
O000169,E0001765,C9642,S006,5,2023-01-03,12.36,6.96,5.4,P02,小程序到家,1,20,14
O000170,E0001769,C8914,S075,18,2023-01-03,36.25,22.55,13.7,P02,门店自提,1,50,39
O000171,E0001770,C8685,S086,38,2023-01-03,29.4,18.24,11.16,P01,第三方外卖,1,18,10
O000172,E0001781,B3594,S038,13,2023-01-03,205.62,148.32,57.3,P06,第三方外卖,3,23,15
O000173,E0001785,B3940,S063,33,2023-01-03,47.66,28.84,18.82,P01,门店自提,1,30,22
O000174,E0001786,B1895,S066,10,2023-01-03,9.9,2.78,7.12,P03,App到家,1,51,43
O000175,E0001788,C9594,S016,18,2023-01-03,12.69,7.34,5.35,P02,小程序到家,1,27,20
O000176,E0001789,C7789,S003,39,2023-01-03,9.9,5.38,4.52,P05,门店自提,1,18,10
O000177,E0001796,A227,S043,21,2023-01-03,39.05,24.2,14.85,P01,门店自提,1,30,14
O000178,E0001806,C1331,S018,26,2023-01-03,36.64,20.61,16.03,P03,App到家,2,61,35
O000179,E0001819,B0106,S079,21,2023-01-03,14.58,7.17,7.41,P01,第三方外卖,2,71,48
O000180,E0001821,B1679,S066,30,2023-01-03,9.9,2.78,7.12,P01,门店堂食,1,16,17
O000181,E0001825,C0872,S090,9,2023-01-03,26.72,15.81,10.91,P01,小程序到家,1,63,44
O000182,E0001830,B3739,S003,11,2023-01-03,9.9,5.38,4.52,P03,小程序到家,1,53,34
O000183,E0001831,A525,S063,32,2023-01-03,49.3,28.84,20.46,P01,门店堂食,1,14,10
O000184,E0001833,C9482,S061,20,2023-01-03,29.84,17.0,12.84,P01,App到家,1,27,15
O000185,E0001841,B2784,S082,15,2023-01-03,16.39,7.91,8.48,P01,门店堂食,1,25,15
O000186,E0001845,B3803,S019,22,2023-01-03,26.3,19.61,6.69,P02,小程序到家,1,14,13
O000187,E0001846,C2626,S009,1,2023-01-03,9.9,4.29,5.61,P03,门店自提,1,20,18
O000188,E0001865,B2680,S060,5,2023-01-03,61.4,39.9,21.5,P02,小程序到家,1,14,16
O000189,E0001872,C2533,S039,26,2023-01-03,25.52,13.52,12.0,P03,App到家,2,19,10
O000190,E0001883,B3784,S033,37,2023-01-03,44.58,27.82,16.76,P04,App到家,2,22,18
O000191,E0001884,C5487,S007,16,2023-01-03,10.94,5.06,5.88,P02,小程序到家,2,42,29
O000192,E0001888,C8731,S002,4,2023-01-03,19.35,9.9,9.45,P02,App到家,3,12,13
O000193,E0001912,C7961,S033,10,2023-01-03,21.86,13.91,7.95,P03,小程序到家,1,18,10
O000194,E0001920,B0514,S053,27,2023-01-03,45.64,30.24,15.4,P01,小程序到家,1,51,47
O000195,E0001928,A343,S071,3,2023-01-03,77.82,52.47,25.35,P08,门店自提,3,30,18
O000196,E0001940,B0431,S001,1,2023-01-04,9.9,4.54,5.36,P06,小程序到家,1,18,19
O000197,E0001946,C1538,S053,15,2023-01-04,44.33,30.24,14.09,P02,门店自提,1,23,12
O000198,E0001957,B2730,S090,24,2023-01-04,52.78,31.61,21.17,P02,App到家,2,48,29
O000199,E0001978,B1071,S010,28,2023-01-04,9.9,5.67,4.23,P05,第三方外卖,1,18,16
O000200,E0001982,B3605,S026,38,2023-01-04,38.21,29.68,8.53,P07,小程序到家,2,23,15
O000201,E0001983,B1613,S097,3,2023-01-04,51.4,29.12,22.28,P02,门店堂食,2,16,15
O000202,E0001985,C8684,S013,34,2023-01-04,19.29,12.6,6.69,P05,小程序到家,1,75,55
O000203,E0001988,C0371,S024,34,2023-01-04,18.07,11.66,6.41,P03,小程序到家,1,29,26
O000204,E0001999,C6334,S068,32,2023-01-04,12.58,7.15,5.43,P01,App到家,1,18,11
O000205,E0002007,C9134,S051,2,2023-01-04,15.43,8.35,7.08,P01,门店堂食,1,16,11
O000206,E0002079,C8566,S072,32,2023-01-04,18.17,11.86,6.31,P01,App到家,1,13,10
O000207,E0002107,C2342,S082,37,2023-01-04,16.12,7.91,8.21,P05,App到家,1,25,23
O000208,E0002124,A404,S077,2,2023-01-04,19.04,11.77,7.27,P02,第三方外卖,1,63,42
O000209,E0002129,C1698,S010,20,2023-01-04,9.9,5.67,4.23,P07,小程序到家,1,26,23
O000210,E0002165,C4335,S016,10,2023-01-04,25.74,14.69,11.05,P03,第三方外卖,2,20,17
O000211,E0002171,B1344,S015,15,2023-01-04,65.79,46.36,19.43,P03,第三方外卖,1,62,52
O000212,E0002201,C2018,S059,1,2023-01-04,31.58,18.72,12.86,P01,小程序到家,1,14,11
O000213,E0002208,C7413,S083,17,2023-01-04,15.62,10.4,5.22,P07,门店堂食,2,21,21
O000214,E0002209,C5850,S080,20,2023-01-04,22.08,13.88,8.2,P02,小程序到家,1,74,59
O000215,E0002219,B0675,S018,39,2023-01-04,36.36,20.61,15.75,P02,门店自提,2,23,17
O000216,E0002227,C9699,S027,21,2023-01-04,32.07,22.42,9.65,P02,App到家,1,72,51
O000217,E0002242,C1773,S060,24,2023-01-04,116.16,79.8,36.36,P03,App到家,2,26,11
O000218,E0002245,C6428,S082,9,2023-01-04,32.82,15.82,17.0,P05,门店自提,2,13,11
O000219,E0002251,C8082,S048,3,2023-01-04,18.45,8.96,9.49,P01,门店堂食,1,34,24
O000220,E0002270,C3193,S013,3,2023-01-04,19.38,12.6,6.78,P02,小程序到家,1,17,16
O000221,E0002285,B1979,S035,21,2023-01-04,30.74,19.01,11.73,P02,第三方外卖,2,30,22
O000222,E0002322,A065,S087,3,2023-01-04,23.67,15.6,8.07,P06,第三方外卖,1,61,37
O000223,E0002337,A503,S012,3,2023-01-04,84.85,61.36,23.49,P01,门店自提,1,29,15
O000224,E0002348,B0895,S066,38,2023-01-04,9.9,2.78,7.12,P06,门店自提,1,42,42
O000225,E0002402,C0712,S085,24,2023-01-04,12.69,6.7,5.99,P01,门店自提,1,19,22
O000226,E0002442,B0503,S081,25,2023-01-04,14.83,7.8,7.03,P03,小程序到家,1,37,26
O000227,E0002452,B1525,S048,5,2023-01-04,37.68,17.92,19.76,P03,App到家,2,21,17
O000228,E0002466,B3021,S032,3,2023-01-04,16.48,10.26,6.22,P02,App到家,1,20,19
O000229,E0002467,C7072,S021,18,2023-01-04,64.66,43.46,21.2,P02,小程序到家,2,21,20
O000230,E0002479,B1322,S084,4,2023-01-04,34.64,20.8,13.84,P01,小程序到家,1,26,13
O000231,E0002485,C7084,S054,14,2023-01-04,41.44,28.08,13.36,P08,门店自提,1,19,13
O000232,E0002500,B3699,S047,6,2023-01-04,19.94,11.77,8.17,P07,门店自提,2,16,16
O000233,E0002519,A048,S099,13,2023-01-04,23.74,12.48,11.26,P01,门店自提,2,58,35
O000234,E0002528,C5223,S067,38,2023-01-05,9.9,2.1,7.8,P01,第三方外卖,1,13,16
O000235,E0002536,A487,S054,26,2023-01-05,41.32,28.08,13.24,P01,门店堂食,1,38,30
O000236,E0002552,A556,S083,17,2023-01-05,9.9,5.2,4.7,P01,第三方外卖,1,41,31
O000237,E0002554,B3066,S042,1,2023-01-05,12.33,8.93,3.4,P07,门店自提,1,20,14
O000238,E0002573,C7940,S035,3,2023-01-05,14.99,9.5,5.49,P05,小程序到家,1,44,30
O000239,E0002582,C5405,S075,5,2023-01-05,35.72,22.55,13.17,P04,App到家,1,22,10
O000240,E0002597,C5551,S045,1,2023-01-05,33.89,22.0,11.89,P03,门店自提,1,24,17
O000241,E0002612,A343,S015,7,2023-01-05,64.85,46.36,18.49,P01,小程序到家,1,75,59
O000242,E0002636,A235,S046,9,2023-01-05,30.42,19.44,10.98,P02,门店自提,1,24,17
O000243,E0002637,C8959,S006,27,2023-01-05,25.68,13.91,11.77,P02,门店堂食,2,18,13
O000244,E0002639,C6482,S043,20,2023-01-05,38.74,24.2,14.54,P01,App到家,1,12,10
O000245,E0002640,B1251,S032,38,2023-01-05,16.42,10.26,6.16,P03,App到家,1,20,21
O000246,E0002673,C1194,S056,21,2023-01-05,85.62,50.4,35.22,P01,App到家,3,59,41
O000247,E0002710,C8436,S008,39,2023-01-05,9.9,3.99,5.91,P03,门店自提,1,17,11
O000248,E0002733,C7318,S057,17,2023-01-05,23.69,14.04,9.65,P02,小程序到家,1,16,10
O000249,E0002735,C4923,S057,35,2023-01-05,24.53,14.04,10.49,P02,门店自提,1,27,21
O000250,E0002737,C4221,S042,21,2023-01-05,15.79,8.93,6.86,P03,小程序到家,1,20,21
O000251,E0002738,C0342,S066,9,2023-01-05,9.9,2.78,7.12,P01,第三方外卖,1,52,39
O000252,E0002750,B3670,S043,7,2023-01-05,39.55,24.2,15.35,P06,门店自提,1,62,44
O000253,E0002752,C3400,S030,5,2023-01-05,45.29,32.49,12.8,P01,小程序到家,1,21,16
O000254,E0002799,B3540,S099,6,2023-01-05,12.66,6.24,6.42,P04,App到家,1,23,20
O000255,E0002817,C6049,S070,3,2023-01-05,22.75,13.08,9.67,P01,第三方外卖,1,23,18
O000256,E0002822,C9056,S064,24,2023-01-05,18.78,9.88,8.9,P04,第三方外卖,1,73,59
O000257,E0002852,C3470,S095,39,2023-01-05,28.82,18.4,10.42,P05,门店自提,1,29,19
O000258,E0002871,B0262,S036,17,2023-01-05,29.19,18.38,10.81,P05,App到家,1,18,10
O000259,E0002908,C2520,S054,9,2023-01-05,41.23,28.08,13.15,P01,App到家,1,23,13
O000260,E0002910,C2940,S011,14,2023-01-05,31.66,18.87,12.79,P01,App到家,2,13,13
O000261,E0002921,C3744,S008,14,2023-01-05,15.48,7.98,7.5,P04,门店自提,2,12,12
O000262,E0002936,C5410,S083,13,2023-01-05,18.92,10.4,8.52,P04,门店自提,2,22,13
O000263,E0002945,B0397,S068,3,2023-01-05,23.5,14.3,9.2,P02,第三方外卖,2,13,15
O000264,E0002978,C2146,S069,37,2023-01-05,9.9,17.4,-7.5,P06,小程序到家,1,16,20
O000265,E0002986,B2794,S057,16,2023-01-05,24.36,14.04,10.32,P05,门店自提,1,54,48
O000266,E0003011,B3199,S010,4,2023-01-05,9.9,5.67,4.23,P03,App到家,1,25,24
O000267,E0003020,C3643,S013,20,2023-01-05,39.0,25.2,13.8,P01,门店堂食,2,25,25
O000268,E0003024,C2139,S006,39,2023-01-05,12.75,6.96,5.79,P02,小程序到家,1,18,14
O000269,E0003028,C7330,S021,27,2023-01-05,31.98,21.73,10.25,P01,App到家,1,19,10
